	Feature	Degree Centrality	Betweenness Centrality	Eigenvector Centrality	Clustering Coefficient	Community
177	inter_2_PEOEVSA12*MoranAuto_Mutability2	0.0092378752886836	0	1.62109293229058E-11	1	Community 14
128	inter_2_PEOEVSA12*QSOgrant20	0.0092378752886836	0	1.62109293229058E-11	1	Community 14
121	inter_2_PEOEVSA12*QSOgrant23	0.0092378752886836	0	1.62109293229058E-11	1	Community 14
52	Xch-7dv	0.0092378752886836	1.06919852878282E-05	1.95616044327629E-11	0.666666666666667	Community 7
105	inter_2_PEOEVSA12*APAAC8	0.0092378752886836	0	1.62109293229058E-11	1	Community 14
357	Avalon_FP_87	0.0092378752886836	3.56399509594275E-06	2.0726351145243E-11	0.833333333333333	Community 7
250	inter_2_MRVSA8*_SolventAccessibilityT13	0.0069284064665127	0	2.17579410248899E-12	1	Community 15
254	inter_2_MRVSA8*MoranAuto_ResidueVol24	0.0069284064665127	0	2.17579410248899E-12	1	Community 15
329	Avalon_FP_14	0.0069284064665127	0	1.68913214797033E-11	1	Community 7
39	AATS4dv	0.0069284064665127	0.00327174749807544	1.3291764085554E-06	0.333333333333333	Community 4
258	inter_2_MRVSA8*MoranAuto_Hydrophobicity23	0.0069284064665127	0	2.17579410248899E-12	1	Community 15
28	MAXssCH2	0.0069284064665127	0	7.93955716383447E-05	1	Community 4
392	Avalon_FP_376	0.0069284064665127	6.41519117269695E-05	1.25882550502501E-11	0.333333333333333	Community 7
185	inter_2_MRVSA8*TL	0.0069284064665127	0	2.17579410248899E-12	1	Community 15
264	inter_2_MRVSA1*GearyAuto_Polarizability6	0.0046189376443418	0	1.6336881759373E-13	1	Community 16
68	AATS8v	0.0046189376443418	0	4.4406435661568E-08	1	Community 4
44	AXp-3dv	0.0046189376443418	0	2.22063984887796E-08	1	Community 4
49	NsOH	0.0046189376443418	0	1.6336881759373E-13	1	Community 16
24	CIC1	0.0046189376443418	0	2.37794646223113E-05	1	Community 2
57	n6ARing	0.0046189376443418	0	1.09504749763768E-11	1	Community 7
60	AXp-4dv	0.0046189376443418	0	2.22063984887796E-08	1	Community 4
344	MACCS_FP_42	0.0046189376443418	1.06919852878282E-05	2.79128859202213E-14	0	Community 17
179	inter_2_MRVSA1*GearyAuto_Mutability12	0.0046189376443418	0	1.6336881759373E-13	1	Community 16
75	AATS8m	0.0046189376443418	0	4.4406435661568E-08	1	Community 4
69	AATS1i	0.0023094688221709	0	4.24959785642381E-15	0	Community 18
389	Avalon_FP_433	0.0023094688221709	0	4.24959785642381E-15	0	Community 29
113	inter_2_VSAEstate8*taugrant33	0.0023094688221709	0	4.24959785642381E-15	0	Community 23
26	BCUTv-1l	0.0023094688221709	0	1.97373900440934E-14	0	Community 17
117	inter_2_PEOEVSA4*TWY	0.0023094688221709	0	4.24959785642381E-15	0	Community 24
22	SaasN	0.0023094688221709	0	4.24959785642381E-15	0	Community 21
18	SdCH2	0.0023094688221709	0	4.24959785642381E-15	0	Community 20
16	MATS2p	0.0023094688221709	0	4.24959785642381E-15	0	Community 19
6	AATS3i	0.0023094688221709	0	4.24959785642381E-15	0	Community 18
284	Avalon_FP_355	0.0023094688221709	0	4.24959785642381E-15	0	Community 27
293	MACCS_FP_34	0.0023094688221709	0	4.24959785642381E-15	0	Community 20
99	inter_2_VSAEstate8*APAAC13	0.0023094688221709	0	4.24959785642381E-15	0	Community 23
318	Morgan_FP_238	0.0023094688221709	0	9.49115228248629E-10	0	Community 5
